"Days_before_onset","Feature","Freq","Dataset"
0,"Dickeya_vir",99,"VirTaxa"
0,"Klebsiella_pneumoniae_vir",97,"VirTaxa"
0,"Klebsiella_vir",100,"VirTaxa"
0,"Salmonella_enterica_vir",99,"VirTaxa"
0,"Salmonella_vir",100,"VirTaxa"
0,"Shigella_sonnei_vir",100,"VirTaxa"
0,"Shigella_vir",100,"VirTaxa"
0,"Dickeya_vir",79,"BacTaxa"
0,"Enterobacter_vir",33,"BacTaxa"
0,"Klebsiella_pneumoniae_vir",88,"BacTaxa"
0,"Klebsiella_vir",100,"BacTaxa"
0,"Salmonella_enterica_vir",100,"BacTaxa"
0,"Salmonella_vir",100,"BacTaxa"
0,"Shigella_sonnei_vir",96,"BacTaxa"
0,"Shigella_vir",100,"BacTaxa"
0,"Enterobacter_vir",28,"BacRest"
0,"Klebsiella_pneumoniae_vir",26,"BacRest"
0,"Klebsiella_vir",100,"BacRest"
0,"LIPOPEPTIDE_rest",49,"BacRest"
0,"PHENICOL.QUINOLONE_rest",51,"BacRest"
0,"QUINOLONE_rest",86,"BacRest"
0,"Salmonella_enterica_vir",85,"BacRest"
0,"Salmonella_vir",100,"BacRest"
0,"Shigella_sonnei_vir",76,"BacRest"
0,"Shigella_vir",100,"BacRest"
0,"Clostridium_iRep",81,"BaciRep"
0,"Cutibacterium_iRep",99,"BaciRep"
0,"Dickeya_vir",90,"BaciRep"
0,"Klebsiella_pneumoniae_iRep",100,"BaciRep"
0,"Klebsiella_pneumoniae_vir",47,"BaciRep"
0,"Klebsiella_vir",100,"BaciRep"
0,"Salmonella_enterica_vir",100,"BaciRep"
0,"Salmonella_vir",100,"BaciRep"
0,"Shigella_sonnei_vir",99,"BaciRep"
0,"Shigella_vir",100,"BaciRep"
0,"Veillonella_iRep",100,"BaciRep"
0,"ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation_path",35,"BacPath"
0,"ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis_path",55,"BacPath"
0,"AST.PWY..L.arginine.degradation.II..AST.pathway._path",35,"BacPath"
0,"ECASYN.PWY..enterobacterial.common.antigen.biosynthesis_path",97,"BacPath"
0,"Enterococcus_faecalis_vir",44,"BacPath"
0,"FERMENTATION.PWY..mixed.acid.fermentation_path",100,"BacPath"
0,"GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose._path",87,"BacPath"
0,"GLYOXYLATE.BYPASS..glyoxylate.cycle_path",61,"BacPath"
0,"Klebsiella_vir",95,"BacPath"
0,"ORNARGDEG.PWY..superpathway.of.L.arginine.and.L.ornithine.degradation_path",31,"BacPath"
0,"P221.PWY..octane.oxidation_path",73,"BacPath"
0,"P42.PWY..incomplete.reductive.TCA.cycle_path",77,"BacPath"
0,"PWY.5005..biotin.biosynthesis.II_path",81,"BacPath"
0,"PWY.5088..L.glutamate.degradation.VIII..to.propanoate._path",38,"BacPath"
0,"PWY.5136..fatty.acid..beta..oxidation.II..peroxisome._path",37,"BacPath"
0,"PWY.5138..unsaturated..even.numbered.fatty.acid..beta..oxidation_path",33,"BacPath"
0,"PWY.5913..TCA.cycle.VI..obligate.autotrophs._path",91,"BacPath"
0,"PWY.6113..superpathway.of.mycolate.biosynthesis_path",100,"BacPath"
0,"PWY.7117..C4.photosynthetic.carbon.assimilation.cycle..PEPCK.type_path",99,"BacPath"
0,"Shigella_vir",47,"BacPath"
0,"Klebsiella_vir",100,"BacMAX"
0,"P161.PWY..acetylene.degradation_MAX",35,"BacMAX"
0,"P23.PWY..reductive.TCA.cycle.I_MAX",33,"BacMAX"
0,"P441.PWY..superpathway.of.N.acetylneuraminate.degradation_MAX",54,"BacMAX"
0,"PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I_MAX",28,"BacMAX"
0,"PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I_MAX",97,"BacMAX"
